gene_symbol,RED,pvalue,p_adj,APAreg,Significance
CDKL1,-1.81325203436372,0.00891572397069402,0.0798379232931284,DN,NS
CDKN1B,-0.562169700609756,0.086843005394421,0.299820947503548,NC,NS
CDKN2AIPNL,-0.356312961125968,0.118430394701363,0.350220821148973,NC,NS
CDV3,-0.00121009855329179,0.994417793779903,0.997627072044753,NC,NS
CEBPG,0.0816727999707167,0.824881219855009,0.920011037624039,NC,NS
CECR2,-0.645242251028831,0.0458931202621305,0.204219692618397,DN,NS
CELF1,0.179041717150463,0.468658173911975,0.696736965563448,NC,NS
CELF2,-0.0922334345096056,0.579994621872761,0.785356749965855,NC,NS
CELF3,0.114258917311,0.65595495407633,0.831635727294497,NC,NS
CELF4,-0.346893077708326,0.0377165518878453,0.183604512098325,DN,NS
CENPO,-0.303851646659203,0.214001993884971,0.474016420861509,NC,NS
CEP170,-0.171007178535431,0.259744117118247,0.51979242120595,NC,NS
CEP170B,0.151172741245915,0.640358522374783,0.824470320026332,NC,NS
CEP250,-1.035113570876,0.0104084036622819,0.0883022866650709,DN,NS
CEP68,-0.260855649321504,0.416702213685528,0.660892140655764,NC,NS
CERK,0.956629635678131,0.00475146484673139,0.0544473180729912,UP,NS
CERS6,-0.371550334733583,0.0151041001270324,0.110792814282837,DN,NS
CETN2,-0.804566807486015,0.0329454072479019,0.171870509258852,DN,NS
CFL1,-0.425452630133885,0.0181361894024068,0.121056282636924,DN,NS
CFL2,-0.0513386145570829,0.753098599830239,0.884372667690557,NC,NS
CGREF1,-0.434711992667475,0.293218858456148,0.557243874236314,NC,NS
CHCHD3,-0.0677200595060692,0.733337623020804,0.875338819359994,NC,NS
CHD1,-0.318719542550305,0.247044221343556,0.505955318064989,NC,NS
CHD5,-0.00641433177743611,0.982740488717017,0.988718944950901,NC,NS
CHM,-0.0133510076608259,0.981605339482922,0.988718944950901,NC,NS
CHMP5,-0.643299085852916,0.20216133551427,0.465267120087083,NC,NS
CHMP7,0.58942805972763,0.325676475987565,0.588598016402775,NC,NS
CHN1,0.350928020178959,0.560948020405333,0.770058869915796,NC,NS
CHORDC1,0.00809605730807617,0.973872288713579,0.98610800383469,NC,NS
CHRNA5,-0.763800675027571,0.0368338873019046,0.181336060563223,DN,NS
CHRNB2,0.235407132958206,0.226264490366539,0.483700216980468,NC,NS
CHRNB4,0.358260109343762,0.478166959657204,0.703510009610599,NC,NS
CHST7,0.474917114840535,0.21030161683269,0.470671244109127,NC,NS
CIAO1,1.17845144241504,0.00481635761260518,0.0544473180729912,UP,NS
CISD1,-2.18499847462984,0.000505079218927699,0.0124865528938923,DN,Shortened in Neurites
CISD2,-0.0919813686330136,0.803491972319219,0.910150990314541,NC,NS
CISD3,-1.13039310822211,0.0798496075569376,0.284374379777244,NC,NS
CKAP4,0.345474781340402,0.195300521729202,0.456516704742015,NC,NS
CLASP2,0.0222651622526084,0.898007732542224,0.963515637322443,NC,NS
CLCC1,0.53436750808957,0.223867799180658,0.483700216980468,NC,NS
CLCN3,-0.785677237618701,0.00057661694741479,0.01349159653306,DN,Shortened in Neurites
CLCN4,0.337959031868605,0.224942873861014,0.483700216980468,NC,NS
CLDN12,-1.23439345644414,0.00652055117673549,0.0650858686264973,DN,NS
CLIC4,-0.301908694163158,0.115915149508291,0.347413763504954,NC,NS
CLIP2,0.454098797507283,0.184046095387344,0.44503484316217,NC,NS
CLIP3,-0.446770968343427,0.4250918067378,0.665767252076716,NC,NS
CLMP,0.16118335779598,0.422681056179721,0.665523862696869,NC,NS
CLN5,-0.601796506602977,0.00109002737640356,0.019602475793836,DN,Shortened in Neurites
CLOCK,-0.626143569074249,0.0222048027662327,0.136877197788448,DN,NS
CLSTN1,0.0664740863678397,0.440685840556042,0.676734219513018,NC,NS
CLSTN2,0.321116076853257,0.0435405101428604,0.198209518976704,UP,NS
CLTA,-0.00545002866562627,0.98850989964164,0.992615386073008,NC,NS
CLTC,-0.325446697962092,0.195320336449824,0.456516704742015,NC,NS
CLUAP1,-1.89078640960356,0.000413756140294161,0.0109796751375621,DN,Shortened in Neurites
CMIP,-0.17524469491419,0.269066542057338,0.530334053910115,NC,NS
CMPK1,-0.554356583798645,0.00471332537393056,0.0544473180729912,DN,NS
CMSS1,-0.654813984945225,0.00723759061856038,0.0703080231517294,DN,NS
CMTM4,-0.765385967157525,0.135324622033756,0.373688296377477,NC,NS
CMTM6,-1.10703462517464,0.0308622665128049,0.165409586039073,DN,NS
CNBP,-0.19241653822606,0.451366959068936,0.682539612879782,NC,NS
CNIH1,-0.356062075531767,0.0315448663089842,0.166647362326914,DN,NS
CNN3,-0.825086060980593,0.107526383961552,0.333776621255829,NC,NS
