Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL,Significance,text_label,plot_color,plot_layer,down_rank,up_rank
ENSG00000119333,384.642545315435,0.00376051311330282,0.0814898880979125,0.959981058286366,0.983941071451104,DYNC2I2,NS,,#c4c4c4,bottom,,
ENSG00000119335,7894.46354473475,0.0146475110857188,0.0384781066872148,0.698059376835209,0.853670175027272,SET,NS,,#c4c4c4,bottom,,
ENSG00000119383,1627.47115240938,0.00428192925458817,0.0531449999543981,0.93377610592858,0.973839391521566,PTPA,NS,,#c4c4c4,bottom,,
ENSG00000119392,350.133465512686,-0.3792196249918,0.0835634085204599,1.06346695687315e-06,1.6545584326961e-05,GLE1,NS,,#c4c4c4,bottom,,
ENSG00000119396,1983.59804475952,-0.0345804460791659,0.047821958461555,0.454742034645816,0.688355325780321,RAB14,NS,,#c4c4c4,bottom,,
ENSG00000119397,1001.10068464242,0.0852927147257384,0.0573880590149543,0.118314712459966,0.300928066594783,CNTRL,NS,,#c4c4c4,bottom,,
ENSG00000119401,609.949439179846,-0.195050961468217,0.0623260252334212,0.000894007219498626,0.00639074957565736,TRIM32,NS,,#c4c4c4,bottom,,
ENSG00000119402,1651.07579898121,0.00390342152992461,0.0480882485543054,0.933537040637234,0.973839391521566,FBXW2,NS,,#c4c4c4,bottom,,
ENSG00000119403,35.6470761655273,-0.302795832913769,0.238593608439823,0.0306315153850242,0.112732171249214,PHF19,NS,,#c4c4c4,bottom,,
ENSG00000119408,220.946517465206,-0.171098817615343,0.090757755700096,0.0326959061758881,0.118354300588987,NEK6,NS,,#c4c4c4,bottom,,
ENSG00000119414,1077.06005663802,-0.0102456009736133,0.0671516579145952,0.869168358888316,0.944980402021183,PPP6C,NS,,#c4c4c4,bottom,,
ENSG00000119421,388.26172648727,0.0929379433517445,0.0734071596845785,0.167332731821959,0.379410605372839,NDUFA8,NS,,#c4c4c4,bottom,,
ENSG00000119431,98.8823252820131,-0.423243839841173,0.157013279178263,0.000906195135862572,0.00646228619599663,HDHD3,NS,,#c4c4c4,bottom,,
ENSG00000119446,558.923186753656,0.0134845175253944,0.0662165658452712,0.828498475455368,0.925256226466952,RBM18,NS,,#c4c4c4,bottom,,
ENSG00000119457,27.2948966375298,-0.235739263492617,0.232521983910834,0.0619365610922443,0.190106978961477,SLC46A2,NS,,#c4c4c4,bottom,,
ENSG00000119471,74.0535773693012,-0.0664414250229285,0.123281908457911,0.483419406936914,0.710822109614666,HSDL2,NS,,#c4c4c4,bottom,,
ENSG00000119487,902.694233983445,0.0763330787937797,0.0512338385933552,0.121112092129128,0.305906140186711,MAPKAP1,NS,,#c4c4c4,bottom,,
ENSG00000119508,2277.99171018023,0.469567931421427,0.0640456029590334,3.31700712871705e-14,1.52717440227653e-12,NR4A3,NS,,#c4c4c4,bottom,,
ENSG00000119509,650.935639636586,0.103476357202367,0.0611963630728472,0.0732387155346131,0.21423221138478,INVS,NS,,#c4c4c4,bottom,,
ENSG00000119514,54.7874333644846,0.0611660517121572,0.136897866670143,0.527422228818957,0.74290653029356,GALNT12,NS,,#c4c4c4,bottom,,
ENSG00000119522,760.591270862904,-0.225149481095016,0.0606812984663316,8.90054242160721e-05,0.000877095300709906,DENND1A,NS,,#c4c4c4,bottom,,
ENSG00000119523,314.159131238409,0.0696562790027557,0.0787340326478548,0.328492823735278,0.574360644547891,ALG2,NS,,#c4c4c4,bottom,,
ENSG00000119537,463.5636651724,0.0761552281288058,0.0637315523378053,0.203861815808118,0.429857308847898,KDSR,NS,,#c4c4c4,bottom,,
ENSG00000119541,793.929076427632,-0.0366307080870139,0.0579972252378686,0.50655549667212,0.727760365958063,VPS4B,NS,,#c4c4c4,bottom,,
ENSG00000119547,25546.2381215924,0.144352592108666,0.0469624817843124,0.000856260907160114,0.00616453314243998,ONECUT2,NS,,#c4c4c4,bottom,,
ENSG00000119559,572.131877770329,-0.119870486367031,0.0760777322438237,0.0844517858318774,0.237318579699448,C19orf25,NS,,#c4c4c4,bottom,,
ENSG00000119574,391.020175774096,-0.269978004468054,0.0913416372526444,0.000963894991528496,0.00679869272339881,ZBTB45,NS,,#c4c4c4,bottom,,
ENSG00000119596,8666.54350764787,0.152788977511558,0.0448358709542966,0.00043424887305782,0.0034602150244431,YLPM1,NS,,#c4c4c4,bottom,,
ENSG00000119599,194.549578834667,0.00388069010609811,0.0854340673387527,0.962492389316077,0.984715722744543,DCAF4,NS,,#c4c4c4,bottom,,
ENSG00000119608,55.9076010739579,0.303456003154002,0.191724901489169,0.020956219801499,0.0845203041628344,PROX2,NS,,#c4c4c4,bottom,,
ENSG00000119616,378.508459163813,0.117711418171513,0.0732403101027287,0.0806779518215294,0.229613283933963,FCF1,NS,,#c4c4c4,bottom,,
ENSG00000119632,113.63072674252,0.162326040096652,0.115431569269752,0.0847076390665182,0.237787270425644,IFI27L2,NS,,#c4c4c4,bottom,,
ENSG00000119636,176.80313577438,0.066263231491067,0.0994420867127313,0.434273253973578,0.671904578698058,BBOF1,NS,,#c4c4c4,bottom,,
ENSG00000119638,678.552663150896,0.152702937961788,0.058160373646606,0.0053399462816007,0.0284034883863213,NEK9,NS,,#c4c4c4,bottom,,
ENSG00000119640,118.814893457525,-0.020152214980341,0.104995341802781,0.818038172924974,0.919725431331434,ACYP1,NS,,#c4c4c4,bottom,,
ENSG00000119650,301.764375959386,-0.0763029430975841,0.0755459565781065,0.272323260231331,0.51442630741117,IFT43,NS,,#c4c4c4,bottom,,
ENSG00000119655,38.6510014038398,-0.484679632309189,0.23707012637459,0.00349177274671423,0.0200648232618764,NPC2,NS,,#c4c4c4,bottom,,
ENSG00000119661,703.024200915348,-0.00212553191878489,0.0581237525093758,0.968901964749103,0.987244109578934,DNAL1,NS,,#c4c4c4,bottom,,
ENSG00000119669,1983.08490349117,-0.278434443047316,0.0804037543225188,0.000161805045112828,0.00147728790380476,IRF2BPL,NS,,#c4c4c4,bottom,,
ENSG00000119673,219.455571805842,0.0186205801533161,0.0881781117400258,0.811961348725057,0.916880690422973,ACOT2,NS,,#c4c4c4,bottom,,
ENSG00000119681,68.3986480257594,-0.167964440020644,0.144126971096648,0.111776564838236,0.289540623895172,LTBP2,NS,,#c4c4c4,bottom,,
ENSG00000119682,1974.13436754019,0.0773223377328789,0.0425921485120556,0.0621489555644506,0.190577765801678,AREL1,NS,,#c4c4c4,bottom,,
ENSG00000119684,399.982360801595,-0.0137285107236053,0.0682035645903824,0.827217748786145,0.924465316840993,MLH3,NS,,#c4c4c4,bottom,,
ENSG00000119685,835.963318070298,0.0749415586687967,0.0533428373304971,0.142600943701606,0.340425868413258,TTLL5,NS,,#c4c4c4,bottom,,
ENSG00000119688,1056.27687819371,-0.214171614514613,0.0575860799511552,9.34086598632531e-05,0.000913427203776133,ABCD4,NS,,#c4c4c4,bottom,,
ENSG00000119689,1523.49539532641,0.00375269009907098,0.0490317395148604,0.937430095319732,0.975489998839894,DLST,NS,,#c4c4c4,bottom,,
ENSG00000119698,142.910277643911,-0.172802483967555,0.112693328854242,0.0630716991516025,0.192582372331177,PPP4R4,NS,,#c4c4c4,bottom,,
ENSG00000119699,122.906283523643,0.201573294623725,0.11858504472696,0.0371142503472603,0.12985679358461,TGFB3,NS,,#c4c4c4,bottom,,
ENSG00000119703,75.3668859456282,0.179909804048962,0.141273717623747,0.0882643380538937,0.24488865174349,ZC2HC1C,NS,,#c4c4c4,bottom,,
ENSG00000119705,473.425837610886,-0.00202937771307282,0.0733810655725352,0.97550125349257,0.990397909056855,SLIRP,NS,,#c4c4c4,bottom,,
ENSG00000119707,4950.94061536344,0.144704890989681,0.061179283917213,0.012219307067735,0.0552901632452397,RBM25,NS,,#c4c4c4,bottom,,
ENSG00000119711,272.796721781608,-0.0591363774641852,0.0783173570430427,0.407000906695828,0.647660319355616,ALDH6A1,NS,,#c4c4c4,bottom,,
ENSG00000119714,31.8279865366131,-0.546649932198246,0.259614495881319,0.00264456181315191,0.0158239715055882,GPR68,NS,,#c4c4c4,bottom,,
ENSG00000119715,454.728621391881,0.167102397348795,0.0779442127205881,0.018738659179247,0.0772862852410248,ESRRB,NS,,#c4c4c4,bottom,,
ENSG00000119718,340.039186043646,0.00588600597371236,0.0701268748318043,0.920065222625945,0.967800215098512,EIF2B2,NS,,#c4c4c4,bottom,,
ENSG00000119720,870.41926860803,0.0216387095478862,0.0536332791885897,0.674387992219383,0.84038386291524,NRDE2,NS,,#c4c4c4,bottom,,
ENSG00000119723,158.709431534207,-0.0358361088963115,0.0995205089954581,0.672027108954265,0.838957633367578,COQ6,NS,,#c4c4c4,bottom,,
ENSG00000119725,106.421022734964,0.0374854229278194,0.114659806193865,0.683003529951807,0.844721737902031,ZNF410,NS,,#c4c4c4,bottom,,
ENSG00000119729,523.689059031193,-0.0840673653618297,0.0681165977785841,0.184602494186614,0.403278313063644,RHOQ,NS,,#c4c4c4,bottom,,
ENSG00000119737,122.177708186168,0.0223906571660924,0.100396276800018,0.792945729707086,0.907933503811902,GPR75,NS,,#c4c4c4,bottom,,
ENSG00000119760,1189.05567067208,-0.22689599176834,0.0536213698704595,9.79474638613236e-06,0.000123079509063317,SUPT7L,NS,,#c4c4c4,bottom,,
ENSG00000119771,742.245931323701,-0.326339133178655,0.0570226543297784,2.62798163454123e-09,6.26007932881339e-08,KLHL29,NS,,#c4c4c4,bottom,,
ENSG00000119772,4488.43719773656,-0.0716558242604656,0.0402342947349808,0.0679644524942783,0.203120625738453,DNMT3A,NS,,#c4c4c4,bottom,,
ENSG00000119777,543.915913451515,0.0531046889838467,0.0657412026543664,0.388811738684753,0.630431657201802,TMEM214,NS,,#c4c4c4,bottom,,
ENSG00000119778,1741.79419632595,0.0602038986096983,0.051501410915686,0.224876451159518,0.457277777719894,ATAD2B,NS,,#c4c4c4,bottom,,
ENSG00000119782,253.068905732955,-0.0549605281759114,0.090313852967549,0.488282473506691,0.713996296359018,FKBP1B,NS,,#c4c4c4,bottom,,
ENSG00000119787,924.198782971843,-0.0386672017267051,0.0551657061938126,0.494246078849945,0.718839790161607,ATL2,NS,,#c4c4c4,bottom,,
