Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL,Significance,text_label,plot_color,plot_layer,down_rank,up_rank
ENSG00000000003,76.4153575429424,-0.269767099070109,0.136279683601866,0.00659941011991927,0.0367004309177504,TSPAN6,NS,,#c4c4c4,bottom,,
ENSG00000000419,187.915458960179,0.0681317758309996,0.0762757550030026,0.281602489317054,0.498051703236928,DPM1,NS,,#c4c4c4,bottom,,
ENSG00000000457,114.920613589147,-0.0536323342146746,0.0832122292514528,0.4173910294017,0.632279231377676,SCYL3,NS,,#c4c4c4,bottom,,
ENSG00000000460,22.1367172667157,0.016800142502267,0.117434231862616,0.775296127405751,0.885667291614993,C1orf112,NS,,#c4c4c4,bottom,,
ENSG00000001036,36.2792610749639,-0.0599327977631166,0.121600890956023,0.370891294033922,0.590703061839481,FUCA2,NS,,#c4c4c4,bottom,,
ENSG00000001084,99.1869829636043,-0.0612370325504933,0.0910547116732183,0.37360250726763,0.593036721443065,GCLC,NS,,#c4c4c4,bottom,,
ENSG00000001167,468.126545974044,0.116948070792025,0.0654956632249721,0.0421381319392075,0.141467424899041,NFYA,NS,,#c4c4c4,bottom,,
ENSG00000001460,24.0066631800207,-0.224906903149169,0.249503934026746,0.0310148952280406,0.113694322315658,STPG1,NS,,#c4c4c4,bottom,,
ENSG00000001461,228.016031389084,-0.284753674982758,0.0786044120316185,4.76174369962617e-05,0.000792791134681587,NIPAL3,NS,,#c4c4c4,bottom,,
ENSG00000001497,403.667357356314,0.138537986811296,0.0589864957004126,0.00917648385975366,0.0470750210524669,LAS1L,NS,,#c4c4c4,bottom,,
ENSG00000001561,48.7946687379618,-0.0558276231827044,0.108531615935042,0.423590290747939,0.638264588005019,ENPP4,NS,,#c4c4c4,bottom,,
ENSG00000001617,140.662633295009,0.151033564429409,0.0928384452507983,0.0389290618645585,0.134297379696046,SEMA3F,NS,,#c4c4c4,bottom,,
ENSG00000001626,11.2995818361829,-0.00463375728444172,0.122651218040945,0.926207710808175,0.963055614069603,CFTR,NS,,#c4c4c4,bottom,,
ENSG00000001629,882.771942048262,-0.233387376787334,0.0656128741785313,8.6289337288769e-05,0.00128821065068648,ANKIB1,NS,,#c4c4c4,bottom,,
ENSG00000001630,141.82620602666,0.177843028139944,0.0896530547858957,0.0145895297228622,0.0660241497497426,CYP51A1,NS,,#c4c4c4,bottom,,
ENSG00000001631,99.6199532663965,-0.0904279616108062,0.11325150226546,0.225625693608196,0.432991275234935,KRIT1,NS,,#c4c4c4,bottom,,
ENSG00000002016,115.55923229537,0.0413513630657094,0.0849970594722601,0.534162325931826,0.727577554124631,RAD52,NS,,#c4c4c4,bottom,,
ENSG00000002079,9.43946262393518,-0.0123401720896483,0.125603532251068,0.789049269960206,1,ENSG00000002079,NS,,#c4c4c4,bottom,,
ENSG00000002330,215.367016939734,0.143778532226402,0.0730666122157822,0.0216557730485156,0.0878554462883249,BAD,NS,,#c4c4c4,bottom,,
ENSG00000002549,111.300051809648,0.00283765803917984,0.0858241024254789,0.966394813156144,0.98483421040969,LAP3,NS,,#c4c4c4,bottom,,
ENSG00000002586,16.0251883160174,0.143293515580356,0.204309231333992,0.0593477358213892,0.179686512403656,CD99,NS,,#c4c4c4,bottom,,
ENSG00000002587,10.9108740848172,0.0516676781909736,0.134520070444187,0.328485479255038,0.54884127902903,HS3ST1,NS,,#c4c4c4,bottom,,
ENSG00000002746,1856.4035520446,-0.23438068408316,0.0590927883183798,1.69239944400861e-05,0.000348006355811833,HECW1,NS,,#c4c4c4,bottom,,
ENSG00000002822,15.1612158116333,-0.177003043989517,0.259207936315695,0.0364932038012662,0.128189606493573,MAD1L1,NS,,#c4c4c4,bottom,,
ENSG00000002834,1053.76584558924,0.0744168409839102,0.046695048871202,0.0884083433209165,0.234619911440209,LASP1,NS,,#c4c4c4,bottom,,
ENSG00000002919,100.10821336935,-0.00404382390788678,0.0846827895776698,0.950491553607907,0.976075001282104,SNX11,NS,,#c4c4c4,bottom,,
ENSG00000003056,203.710598947921,-0.0380783565409701,0.0699804385502897,0.523794597954975,0.719817253626475,M6PR,NS,,#c4c4c4,bottom,,
ENSG00000003096,93.7188588588428,-0.388424402902913,0.1315491463775,0.000285448089300539,0.00332810261466183,KLHL13,NS,,#c4c4c4,bottom,,
ENSG00000003147,146.740691062868,-0.165501547814848,0.102893261783338,0.0340363674580257,0.121887704043645,ICA1,NS,,#c4c4c4,bottom,,
ENSG00000003249,560.199759689017,0.0574916888500562,0.0544229991227683,0.247680870179972,0.459236883836216,DBNDD1,NS,,#c4c4c4,bottom,,
ENSG00000003393,636.999334851886,-0.0662701216340034,0.0510311074301179,0.159353844467318,0.346429777675257,ALS2,NS,,#c4c4c4,bottom,,
ENSG00000003402,388.705112022575,-0.163173410904105,0.0646229130345229,0.00457946475368453,0.0279131744289555,CFLAR,NS,,#c4c4c4,bottom,,
ENSG00000003509,135.574357742786,-0.033488082931355,0.08560075836647,0.613853170190433,0.782943399526464,NDUFAF7,NS,,#c4c4c4,bottom,,
ENSG00000003756,1077.5667005025,0.0432006478419793,0.0470599084545516,0.329471103652969,0.549597308831314,RBM5,NS,,#c4c4c4,bottom,,
ENSG00000003987,308.333322703525,-0.154028671739376,0.0896864151069402,0.032101785313589,0.116768530395552,MTMR7,NS,,#c4c4c4,bottom,,
ENSG00000004059,433.279347289244,0.101380479176993,0.0662114406038579,0.0798476351408047,0.219309959179165,ARF5,NS,,#c4c4c4,bottom,,
ENSG00000004139,448.232592283392,0.0750059359920362,0.0671128191001424,0.197623162063693,0.398223836592795,SARM1,NS,,#c4c4c4,bottom,,
ENSG00000004142,344.643204804361,0.0382341571152667,0.0575464080498968,0.466550763772352,0.674124197332854,POLDIP2,NS,,#c4c4c4,bottom,,
ENSG00000004399,39.6078600230091,0.350626749333848,0.264339676897784,0.0100187619972475,0.0501185859046233,PLXND1,NS,,#c4c4c4,bottom,,
ENSG00000004455,318.276535674457,-0.109556112669261,0.0817592664901975,0.100804017462099,0.256052647086666,AK2,NS,,#c4c4c4,bottom,,
ENSG00000004478,932.833608189511,-0.0446689258258604,0.0521204254688042,0.351349081897769,0.570986361955372,FKBP4,NS,,#c4c4c4,bottom,,
ENSG00000004487,3358.41207299525,-0.0199612180336966,0.0468453831853859,0.636235616229655,0.797803771104872,KDM1A,NS,,#c4c4c4,bottom,,
ENSG00000004534,1298.41444324618,0.0226013475584941,0.0616814399825141,0.681092563421501,0.827113984230087,RBM6,NS,,#c4c4c4,bottom,,
ENSG00000004660,151.399020388072,0.176067290120364,0.0893533068155119,0.0152022676777755,0.0680287845600152,CAMKK1,NS,,#c4c4c4,bottom,,
ENSG00000004700,83.72680824018,0.0757683133627132,0.0960939732567033,0.284306283477124,0.500536182061607,RECQL,NS,,#c4c4c4,bottom,,
ENSG00000004766,242.498906207736,-0.24732432217114,0.0785159860341903,0.000333702016248678,0.00378172249926635,VPS50,NS,,#c4c4c4,bottom,,
