PG.ProteinGroups,PG.Genes,[1] HN1.raw.PG.MS2Channel1,[2] HN2.raw.PG.MS2Channel1,[3] HN3.raw.PG.MS2Channel1,[4] HN4.raw.PG.MS2Channel1,[5] HS1.raw.PG.MS2Channel1,[6] HS3.raw.PG.MS2Channel1,[7] HS4.raw.PG.MS2Channel1,[8] LN1.raw.PG.MS2Channel1,[9] LN2.raw.PG.MS2Channel1,[10] LN3.raw.PG.MS2Channel1,[11] LN4.raw.PG.MS2Channel1,[12] LS1.raw.PG.MS2Channel1,[13] LS2.raw.PG.MS2Channel1,[14] LS3.raw.PG.MS2Channel1,[15] LS4.raw.PG.MS2Channel1,[1] HN1.raw.PG.MS2Channel3,[2] HN2.raw.PG.MS2Channel3,[3] HN3.raw.PG.MS2Channel3,[4] HN4.raw.PG.MS2Channel3,[5] HS1.raw.PG.MS2Channel3,[6] HS3.raw.PG.MS2Channel3,[7] HS4.raw.PG.MS2Channel3,[8] LN1.raw.PG.MS2Channel3,[9] LN2.raw.PG.MS2Channel3,[10] LN3.raw.PG.MS2Channel3,[11] LN4.raw.PG.MS2Channel3,[12] LS1.raw.PG.MS2Channel3,[13] LS2.raw.PG.MS2Channel3,[14] LS3.raw.PG.MS2Channel3,[15] LS4.raw.PG.MS2Channel3
Q8TF05,PPP4R1,5315.602539,5541.941406,5946.859375,4297.381348,6444.596191,6316.543945,6330.011719,5286.111816,4887.59668,5170.674316,5824.981934,5038.648438,5693.461426,6559.085938,6243.708984,1,202.4680176,19.4703064,65.75075531,1,33.30949783,33.85465622,16.30430412,1.210419893,1,1,181.3495026,1,146.8482666,20.24929619
Q8TF42,UBASH3B,2716.303711,3606.677979,3860.001709,3893.908203,2163.60791,1954.004272,2055.365723,3782.804443,4633.13623,5340.198242,4500.577148,4170.307617,2226.303711,2270.841309,2323.79248,87.01409912,78.29473114,1,1,202.7941132,256.3553772,235.2897949,1,226.0931244,1.158199787,35.18022537,163.5954742,195.1182861,218.5493774,282.4041748
Q8TF44,C2CD4C,4794.771484,3891.700928,3886.898438,3929.923828,2994.357422,1369.091675,2175.359375,4462.578125,3660.129639,4308.507324,2421.491699,2130.278809,3159.17041,3189.455078,3279.456299,274.3833618,538.2175903,375.9702454,417.6485291,554.4625244,98.33963776,315.9359131,348.1175537,662.7689209,1.00745523,1,1,512.0265503,227.531189,579.8052368
Q8TF61,FBXO41,5242.936035,5424.108398,5854.657227,6511.379395,4701.198242,4397.785156,3273.388184,5313.112793,5067.157227,8348.047852,6531,5653.892578,4859.250488,4326.791992,4239.765137,1,1,1,1,130.1243439,1,116.9910049,1,1.231764674,1.413526654,1,34.99058914,1,1,1
Q8TF68,ZNF384,NaN,NaN,NaN,NaN,9377.245117,955.7824707,644.9511719,NaN,2.069857359,NaN,NaN,8088.904785,10438.62695,5114.830078,5004.932617,NaN,NaN,NaN,NaN,576.9393921,370.6177673,330.0450134,NaN,2.069857359,NaN,NaN,1307.655029,1070.647217,523.659729,615.9727783
Q8TF72,SHROOM3,NaN,NaN,2361.522705,3243.070557,NaN,1648.932617,1,NaN,NaN,5812.712402,2113.631836,NaN,NaN,NaN,2916.836914,NaN,NaN,1,1,NaN,36.46694183,288.159668,NaN,NaN,2.87856555,1.113636374,NaN,NaN,NaN,1.279212952
Q8TF74,WIPF2,21810.85938,20303.19336,19661.07227,22816.26172,9757.814453,8186.708008,6814.187988,17192.51563,19394.14063,21436.50195,21123.00195,5303.302734,9517.821289,9944.670898,9872.164063,1,1,1,40.05122757,1,1,1,1,1.084390163,1.008134127,1,1,1,1,1
Q8WTR4,GDPD5,2416.035156,2798.836426,2203.026367,1957.772461,627.1117554,568.5923462,464.7495728,2863.407715,2264.138184,4076.744873,2283.762695,366.9971008,NaN,375.0011292,357.4469604,92.57990265,155.0435333,121.4020004,153.365799,1,696.354126,25.19651604,422.4599915,1065.376343,901.2102661,370.7852783,204.3808899,NaN,1,1
Q8WTS1,ABHD5,1227.036377,1846.553223,2762.413086,2230.829346,1178.159424,1181.265259,723.2025146,1554.093384,1462.182617,1838.190186,2203.812256,605.6151123,1054.173706,520.3154907,1267.35437,631.3782349,955.6817017,569.1315918,975.1938477,1025.956909,1,403.3376465,1,1.250527382,825.1848755,395.1282654,48.87189102,1,1,2325.792236
Q8WTT2,NOC3L,7631.70459,1,3974.398438,2322.513428,2575.985107,1974.081787,2871.829102,1760.110107,317.3837891,1.024502873,1,3060.991699,2327.307861,3556.237793,2388.935059,1,1,1,1,1,1,1,1,1.004455209,1.024502873,1,1,1,1,70.93499756
