Rank,Genes,row_mean.QH_H,,,,
176,RPS13,194379.0488,,,,
177,HK1,192741.2266,,,,
178,THRAP3,191361.9375,,,,
179,CCT5,188506.3204,,,,
180,CLTA,186915.4219,,,,
181,RPN1,185478.3555,,,,
182,PSMA4,182932.8568,,,,
183,NME2,179577.7969,,,,
184,NSF,178261.8438,,,,
185,GNB2,177226.9844,,,,
186,CFL1,175145.5357,,,,
187,EEF1B2,172718.8437,,,,
188,RAD23B,171538.8757,,,,
189,EIF4A1,167860.0625,,,,
190,ACLY,166456.847,,,,
191,DPYSL4,163311,,,,
192,RPSA,162853.0781,,,,
193,ACTR3B,162053.0665,,,,
194,RTN3,155214.7266,,,,
195,GNAI1,153651.0195,,,,
196,SH3BGRL3,150846.2187,,,,
197,PEBP1,150298.7539,,,,
198,ILF3,149119.9922,,,,
199,TXN,144842.9668,,,,
200,GSTP1,143240.0703,,,,
201,TUBB3,139445.9531,,,,
202,HNRNPA0,137016.0365,,,,
203,IGF2BP1,136854.0137,,,,
204,GNB1,135096.5651,,,,
205,VCP,133018.2917,,,,
206,SFPQ,130751.7162,,,,
207,LRPPRC,128715.5898,,,,
208,GAP43,123902.8281,,,,
209,SLC7A5,120621.7891,,,,
210,LAMA5,119745.0039,,,,
211,FASN,119737.4648,,,,
212,RACK1,118226.1198,,,,
213,DDB1,117793.3659,,,,
214,PSMB2,115322.8047,,,,
215,NPM1,114920.2686,,,,
216,RBMX,113890.3438,,,,
217,U2AF1L5;U2AF1,111370.2481,,,,
218,KDM1A,110694.6367,,,,
219,ARGLU1,108486.9297,,,,
220,CSDE1,108379.3125,,,,
221,DDX1,107991.373,,,,
222,SEPTIN7,105611.4375,,,,
223,ELAVL1,104998.3281,,,,
224,MAP2,104590.9414,,,,
225,GPI,103644.78,,,,
226,RTN4,101360.2057,,,,
227,HSPD1,98416.69793,,,,
228,ATP6V1B2,96301.76822,,,,
229,GOT1,94896.31643,,,,
230,RPL8,94804.46679,,,,
231,PGK 1.00,94283.8086,,,,
232,ACO2,93897.09569,,,,
233,AP2B1,92970.94922,,,,
234,ATP5PD,90566.03907,,,,
235,EDIL3,89971.74416,,,,
236,DHX9,88596.35027,,,,
237,TCP1,87321.00975,,,,
238,ATP5F1E;ATP5F1EP2,84460.4336,,,,
239,TKT,82755.54884,,,,
240,SLC25A6,82029.54557,,,,
241,RAN,80797.50097,,,,
242,PSMD1,79652.60547,,,,
243,ENO1,78342.60255,,,,
244,SRSF1,77137.22658,,,,
245,TMSB10,75866.14062,,,,
246,SV2A,73685.06253,,,,
247,HNRNPR,71160.74024,,,,
248,HNRNPL,67010.85156,,,,
249,DYNC1H1,63161.95703,,,,
250,RPS7,61333.39649,,,,
251,TARS1,57640.98242,,,,
252,HNRNPU,54638.20581,,,,
253,MDH2,50046.34766,,,,
254,BCLAF1,49726.72901,,,,
255,PFKL,45963.21875,,,,
256,HSPA5,43678.07667,,,,
257,RPL10A,43650.61499,,,,
258,KRT9,37186.54883,,,,
259,WDR1,37117.95443,,,,
260,RPS10,36419.89128,,,,
261,GOT2,35926.67383,,,,
262,RAB2A,32765.35059,,,,
263,H3C1;H3-3A;H3-4;H3C15,31543.77197,,,,
264,H1-3,28845.31983,,,,
265,RPS18,25307.6778,,,,
266,CPSF6,13269.95264,,,,
267,SRRM1,5846.688721,,,,
