SYMBOL
ACTB
CPSF6
COX5B
CPSF6
EEF1A1
EEF2
ENO2
GAPDH
HNRNPA1
HNRNPM
NEFL
NEFM
PARK7
PCBP1
PPIA
PRMT1
RPL10
RPL8
RPS10
RPS13
RPS18
RPS27A
RPS5
SUMO2
