SYMBOL
HNRNPM
IGF2BP3
KIF1B
KIF5A
PFN1
ACTB
RPL12
RPL13A
RPL7
RPS10
RPS15A
RPS20
RPS21
RPS27A
SOD1
STAU2
STMN2
COX5B
NDUFA7
NEFM
MAPK3
ARF4
SCG2
