rank,PG.Genes,row_mean.HN_H
231,APBB3,1294.767914
232,TMED8,1293.243423
233,IGFBPL1,1292.973877
234,P2RX3,1291.846741
235,APLP1,1291.205994
236,CNNM4,1280.292877
237,FAM13C,1278.07725
238,H2BC5;H2BC4;H2BC18;H2BC9;H2BC15;H2BC14,1270.699997
239,DIP2C,1260.338234
240,NDUFA10,1258.137237
241,DDX3X,1252.771591
242,ARMCX2,1247.822159
243,MLYCD,1247.440023
244,RRAGC,1240.937012
245,PAK2,1238.37944
246,EHD3,1229.001205
247,MRPL28,1224.425815
248,RPS27A,1221.330688
249,FASN,1218.832092
250,MSRA,1218.36525
251,SGSM2,1217.4493
252,TUBB4B,1216.650543
253,GNL1,1207.033661
254,SELENOF,1195.434243
255,IMPDH1,1193.064682
256,PTGR1,1191.107483
257,MRTFA,1189.317398
258,ACOT1,1185.869904
259,VWA5B2,1181.143654
260,GSTA4,1180.524681
261,FBXO3,1178.702718
262,IER3IP1,1169.537883
263,IGBP1,1166.797607
264,CSNK1G1,1165.337927
265,CRTC1,1158.920868
266,PHGDH,1154.93074
267,MRI1,1154.625738
268,TOP2A,1153.719818
269,VCP,1152.273987
270,ASPHD2,1149.493546
271,SLC1A1,1148.676834
272,ALG11,1143.850861
273,VAMP3,1142.752401
274,VPS35L,1139.58699
275,DYNLL1,1136.328858
276,ZYG11B,1134.722496
277,DYNLL2,1134.342018
278,CYC1,1131.090179
279,ABHD14B,1127.484711
280,PYGL,1119.192253
281,KIFBP,1119.132935
282,FKBP2,1115.881495
283,C12orf45,1114.54187
284,CYB5R2,1099.00591
285,ME1,1098.666244
286,GABRB3,1097.986053
287,FZD7,1097.229269
288,STMN3,1085.060959
289,SARAF,1081.03537
290,GPR158,1073.667053
291,CAMLG,1069.65654
292,ADCK5,1068.28392
293,PCCA,1067.323883
294,CPNE2,1065.385521
295,PANX1,1062.130112
296,P4HB,1060.026619
297,PCYT1B,1059.329285
298,HLTF,1053.805565
299,SALL3,1050.506668
300,PELI2,1043.73745
301,RMND1,1040.662609
302,THAP4,1029.804138
303,ERF,1026.185252
304,LONRF2,1022.632642
305,SLC4A3,1017.995262
306,RAI14,1015.973393
307,OSBPL8,1015.492317
308,COMT,1010.920212
309,TOMM22,1006.883726
310,DPYSL5,1004.912796
311,STX16,1003.11647
312,OTUB1,1001.232681
313,TSC22D1,999.1132393
314,METTL21A,995.1945598
315,ACTB,989.9890138
316,TMX4,989.9258347
317,KCNA2,986.1704483
318,FIBP,982.6465454
319,IGLON5,974.7892913
320,RAB3GAP2,973.0741425
321,SNAP25,971.3362884
322,CNTN1,970.9215317
323,CAPN1,969.069931
324,ABAT,966.9217378
325,KIDINS220,964.8463135
326,KIF1A,959.431015
327,AMFR,958.6501618
328,RETREG3,954.0950469
329,SLC37A3,948.9793702
330,SLC25A29,945.3038637
331,EFR3B,944.4291724
332,CHMP6,939.0592728
333,CBSL;CBS,935.0570373
334,PEX5L,929.9490604
335,BPNT1,924.0906982
336,ASPM,916.7921601
337,TSN,914.8477249
338,DCDC1,912.8722942
339,RACK1,909.9304656
340,TMEM132A,906.9180602
341,DRG1,905.044098
342,DENND4A,903.5341391
343,EARS2,902.625412
344,ACADSB,900.3377382
345,NUDT2,898.0621186
346,HNRNPUL2,897.915619
347,MTHFD2,892.3438416
348,SPAG9,886.799179
349,PCSK2,883.0799256
350,DAD1,874.8070069
351,DNM2,873.8597869
352,MYO1B,872.1991331
353,ARL8B,871.1004561
354,SEC23IP,870.1076203
355,MRPS25,868.2771581
356,RPA2,864.5974654
357,TMEM259,864.4363557
358,EZR,864.3686104
359,HAGH,864.2223816
360,PDXK,859.7904459
361,SLC35F6,858.8577861
362,PEX11B,856.7412263
363,DOCK7,856.6956025
364,LEMD2,845.3764803
365,NACA,842.4866791
366,POLR1C,842.4134445
367,EXOC1,841.8919829
368,MCAM,841.4208984
369,ECHS1,838.8916016
370,NEK1,838.5847575
371,ELP1,836.480194
372,CHMP7,836.2082367
373,EIF4ENIF1,835.6958619
374,RALGAPA2,833.4107767
375,ACTL6B,828.3185121
376,SLC25A33,828.1154785
377,UNC119B,828.0967789
378,XPO1,824.7209702
379,GSTK1,822.8479589
380,RIMS1,822.0704651
381,PFKL,821.8455581
382,NME2,817.9787292
383,LYPD1,817.6467081
384,CAPG,812.388874
385,GIPC1,812.0375366
386,RPL7L1,811.9014283
387,GPC4,811.3777544
388,YARS1,810.1735191
389,STRN4,807.7525025
390,STIP1,806.2276101
391,MRPS15,805.7210693
392,PFKFB2,805.4247895
393,PLPPR3,796.8538819
394,RAB11A,794.7550049
395,SEMA4C,793.8179399
396,EIF2S3,788.9551506
397,CRK,783.1402435
398,ABHD5,782.846344
399,SHMT2,776.9230347
400,SEC11A,775.5797577
401,WNK1,773.8288041
402,DNAJC13,773.2821273
403,FAM117B,772.7888184
404,TMED9,770.0534209
405,GCLC,769.6969425
406,UCHL1,768.8539581
407,EML1,768.2823258
408,WDR13,767.4445457
409,BAG2,765.344635
410,TYW5,759.5109519
411,RNASEH2C,759.0968425
412,PSMB5,758.7853012
413,TRAPPC13,757.8385124
414,LRPAP1,756.0335198
415,TUFM,755.3086242
416,LRFN1,752.3910522
417,OGA,751.6644058
418,LRRC47,748.8759308
419,UBE2V1,748.8634339
420,CMC1,748.6104177
421,CTDNEP1,744.6399
422,ATPAF2,738.2269211
