"","Genes","row_mean.QH_H","row_mean.QHf_H","row_mean.QHi_H","row_mean.QL_H"
"123","SPTBN1",583858.015633333,NA,NA,NA
"124","PGK1",94283.808595,NA,NA,NA
"125","YARS1",1487127.25,NA,NA,NA
"126","ATP6V1B2",96301.76822,NA,NA,NA
"127","SFPQ",130751.716163333,NA,NA,NA
"128","TCP1",87321.009745,NA,NA,NA
"129","RAB7A",439415.520866667,NA,NA,NA
"130","EWSR1",1326514.70833333,NA,NA,NA
"131","PARK7",853164.3021,NA,NA,NA
"132","PEBP1",150298.75393,NA,NA,NA
"133","HK1",192741.226566667,NA,NA,NA
"134","CCT4",233992.1719,NA,NA,NA
"135","GOT1",94896.316425,NA,NA,NA
"136","RACK1",118226.119816667,NA,NA,NA
"137","CAND1",243265.606445,NA,NA,NA
"138","MAPRE1",464669.09375,NA,NA,NA
"139","GARS1",443440.3125,NA,NA,NA
"140","KHSRP",590856.375033333,NA,NA,NA
"141","FASN",119737.46483,NA,NA,NA
"142","WDR1",37117.9544266667,NA,NA,NA
"143","PCBP1",3340897.16666667,NA,NA,NA
"144","CCT5",188506.32035,NA,NA,NA
"145","PSMA4",182932.856786667,NA,NA,NA
"146","UBE2V1",415780.303890333,NA,NA,50146.462895
"147","SUB1",251422.14844,NA,NA,NA
"148","GOT2",35926.67383,NA,NA,NA
"149","RUFY3",415730.15625,NA,NA,NA
"150","HNRNPH3",1054622.46876667,NA,NA,NA
"151","PDIA6",246918.7539,NA,NA,86962.85547
"152","PFN2",416578.541666667,NA,NA,NA
"153","GPI",103644.779976667,NA,NA,NA
"154","SCRN1",299509.778636667,NA,NA,NA
"155","SYT1",743325.1875,NA,NA,NA
"156","UBE2V2",431955.873713333,NA,NA,NA
"157","CLTC",278345.09896,NA,NA,NA
"158","ILF3",149119.9922,NA,NA,NA
"159","PPA1",941190.2344,NA,NA,NA
"160","HNRNPDL",482722.820313333,NA,NA,NA
"161","SNRPD3",599693.39845,NA,NA,NA
"162","USP5",323485.875,NA,NA,NA
"163","ELAVL4",445786.1875,NA,NA,NA
"164","RPS18",25307.677798,NA,NA,NA
"165","NSF",178261.84375,NA,NA,NA
"166","CCT3",222678.923584,NA,NA,NA
"167","RPSA",162853.078113333,NA,NA,NA
"168","RPL10",277028.1094,NA,NA,NA
"169","HNRNPR",71160.740235,NA,NA,NA
"170","DDX1",107991.373035,NA,NA,NA
"171","AP2B1",92970.94922,NA,NA,NA
"172","COX6C",1417629.5,NA,NA,NA
"173","STMN1",1575328.66666667,NA,NA,NA
"174","ACLY",166456.847006667,NA,NA,NA
"175","RTN3",155214.726565,NA,NA,NA
"176","NAGK",533563.28125,NA,NA,NA
"177","CRABP1",301771.24219,NA,NA,NA
"178","PSMD1",79652.60547,NA,NA,NA
"179","KLC4",495674.0469,NA,NA,NA
"180","SV2A",73685.062525,NA,NA,NA
"181","RAB2A",32765.350585,NA,NA,NA
"182","PRDX3",280080.754885,NA,NA,NA
"183","COX4I1",730130.25,NA,NA,NA
"184","LASP1",212093.072265,NA,NA,NA
"185","DDX17",403087.9844,NA,NA,NA
"186","AP1B1",472791.07815,NA,NA,NA
"187","KPNB1",253387.1875,NA,NA,NA
"188","PPP2CB",238787.84375,NA,NA,166880.8594
"189","GBA",1792769.91666667,4284.39986166667,NA,NA
"190","GSTP1",143240.0703,NA,NA,NA
"191","PFKL",45963.21875,NA,NA,NA
"192","DPYSL4",163311,NA,NA,NA
"193","FUS",302834.71875,NA,NA,NA
"194","HNRNPA0",137016.036476667,NA,NA,NA
"195","PPP2R1A",230502.6042,NA,NA,NA
"196","RPN1",185478.3555,NA,NA,NA
"197","ATP6V1A",373836.8203,NA,NA,NA
"198","ELAVL1",104998.3281,NA,NA,NA
"199","CSE1L",436085.71875,NA,NA,NA
"200","CALM1;CALM2;CALM3",599432.21094,NA,NA,NA
"201","TXN",144842.96679,NA,NA,NA
"202","U2AF1L5;U2AF1",111370.24807,NA,NA,NA
"203","FUBP1",660470.484366667,NA,NA,NA
"204","PRMT1",268406.51955,NA,NA,NA
"205","LRPPRC",128715.589845,NA,NA,NA
"206","GNA11",394522.4375,NA,NA,NA
"207","ACTR3B",162053.06645,NA,NA,NA
"208","SARS1",234069.7852,NA,NA,NA
"209","IDH3A",749206.26565,NA,NA,NA
"210","ERP29",362647.7344,NA,NA,NA
"211","RPL10A",43650.6149915,NA,NA,NA
"212","CSDE1",108379.312525,NA,NA,NA
"213","EEF1B2",172718.84374,NA,NA,NA
"214","PSMB2",115322.80469,NA,NA,NA
"215","OAT",353864.683595,NA,NA,NA
"216","GNAI1",153651.0195,NA,NA,NA
"217","PSMA1",298126.2422,NA,NA,NA
"218","SUMO2",542262.572933333,NA,NA,NA
"219","CLTA",186915.4219,NA,NA,NA
"220","ATP5PD",90566.039065,NA,NA,NA
"221","RBMX",113890.34376,NA,NA,NA
"222","RPS10",36419.8912766667,NA,NA,NA
"223","DDX3X",313314.64845,NA,NA,NA
"224","TARS1",57640.98242,NA,NA,NA
"225","PCMT1",393934.6927,NA,NA,NA
"226","SH3BGRL3",150846.21874,NA,NA,NA
"227","SEPTIN7",105611.437525,NA,NA,NA
"228","REEP5",487166.921866667,NA,NA,NA
"229","ARPC3",369089.6133,NA,NA,NA
"230","STX7",630921.21875,NA,NA,NA
"231","THRAP3",191361.9375,NA,NA,NA
"232","LYPLA1",418342.32815,NA,NA,NA
"233","KRT9",37186.54883,NA,NA,NA
"234","ATP5F1E;ATP5F1EP2",84460.433595,NA,NA,NA
"235","DDB1",117793.365903333,NA,NA,NA
"236","RAD23B",171538.87567,NA,NA,NA
"237","SRRM1",5846.6887205,NA,NA,NA
"238","CPSF6",13269.95264,NA,NA,NA
"239","CADPS",740390.77345,NA,NA,NA
"240","CTSB",200523.496095,NA,NA,NA
"241","SLC7A5",120621.789065,NA,NA,NA
"242","COX5B",647156.53125,NA,NA,NA
"243","EIF4G2",244109.6328,NA,NA,NA
"244","WBP2",264137.119165,NA,NA,NA
"245","CSNK2A1",454429.8594,NA,NA,NA
"246","ANXA7",250512.71094,NA,NA,NA
"247","KDM1A",110694.636745,NA,NA,NA
"248","PSAP",300270.2969,NA,NA,NA
"249","BCLAF1",49726.729005,NA,NA,NA
"250","ATXN2L",1315127.70833333,NA,NA,NA
"251","ARGLU1",108486.929705,NA,NA,NA
"252","DNAJC11",295856.83595,NA,NA,NA
"253","NDUFC2",326645.1094,NA,NA,NA
"254","SYNGR1",495770.64065,NA,NA,NA
"255","GRB2",744116.875,NA,NA,NA
"256","NCOA5",1334198.9375,NA,NA,NA
"257","SRI",344780.848966667,NA,NA,NA
"258","COX8A",272646.67676,NA,NA,NA
"259","STRBP",420693.03125,NA,NA,NA
"260","TMSB10",75866.14062,NA,NA,NA
"261","COX5A",316083.833333333,NA,NA,NA
"262","LAMA5",119745.003895,NA,NA,NA
"263","ERH",1276909.08333333,NA,NA,NA
"264","BANF1",328027.041666667,NA,NA,NA
"265","ACTBL2",1723844.1875,NA,NA,NA
"266","NRP1",731752.375,NA,NA,NA
"267","STAG1",211559.3672,NA,NA,NA
"268","KRT86",NA,2499.28955066667,1520.4160765,38224.1318385
"269","COTL1",NA,2668.9213865,NA,NA
"270","ARF4",NA,29107.6285833333,4340.32137066667,NA
"271","PSMF1",NA,32508.8323566667,6509.222169,NA
"272","BSG",NA,5312.02791266667,NA,NA
"273","NCDN",NA,7223.37003533333,3266.86051433333,NA
"274","SARNP",NA,5246.410156,1721.031067,NA
"275","RHOT1",NA,3401.76017233333,2514.043335,NA
"276","WDR77",NA,1455.655518,1169.70585133333,NA
"277","CUL5",NA,2494.35392266667,1830.0446165,NA
"278","EIF4G1",NA,15224.5130226667,10437.73584,NA
"279","ELMOD2",NA,1649.2227785,NA,NA
"280","RBBP4",NA,1235.009766,NA,NA
"281","PMPCB",NA,1294.595398,NA,NA
"282","RABL6",NA,2436.49820966667,1937.116455,NA
"283","EIF3H",NA,1567.6101075,1816.677307,NA
"284","NAT10",NA,1096.8629765,1831.15250633333,NA
"285","MRPL41",NA,2697.972229,2714.394043,NA
"286","TMX3",NA,2698.310913,NA,NA
"287","NBPF1",NA,2794.4835205,NA,NA
"288","PRRC2B",NA,1626.43363433333,1950.036784,NA
"289","NUDT14",NA,5401.399841,NA,NA
"290","RABEPK",NA,1458.0372315,NA,NA
"291","APH1B",NA,1374.612366,NA,NA
"292","DNAJC2",NA,1327.536133,NA,NA
"293","PIGR",NA,1640.703308,NA,NA
"294","CDKN2D",NA,NA,7010.9689925,NA
"295","EDC4",NA,NA,1248.9161375,NA
"296","MRPL46",NA,NA,1888.86873366667,NA
"297","FAM114A2",NA,NA,3396.64681,NA
"298","CCNL1",NA,NA,2305.88090033333,NA
"299","SIRPA",NA,NA,1564.0231325,NA
"300","IGLON5",NA,NA,2176.568237,NA
"301","CXXC5",NA,NA,1994.249084,NA
"302","XRCC6",NA,NA,NA,57113.51953
"303","RARS1",NA,NA,NA,1005619.7461
"304","RAP1GDS1",NA,NA,NA,32290.7168
"305","MRPL38",NA,NA,NA,99274.01952
"306","JPT2",NA,NA,NA,56844.69141
"307","HNRNPF",NA,NA,NA,3086.9181515
"308","RANGAP1",NA,NA,NA,408493.82815
"309","TCEAL4",NA,NA,NA,75205.75586
