sample	group	guide_group_actual	guide_group	bio_group	layout	orig_filename	orig_filename_R2
sg1152_S_FUSkd_21_L2	FUSkd	sg1152_S_FUSkd	sg1152	sg1152_S_FUSkd_21	PE	/data/CARD_ARDIS/FUSkdRNAseq/NovaSeq_VR8153/VR-8153_21_S21_L002_R1_001.fastq.gz	/data/CARD_ARDIS/FUSkdRNAseq/NovaSeq_VR8153/VR-8153_21_S21_L002_R2_001.fastq.gz
sg1152_S_FUSkd_22_L1	FUSkd	sg1152_S_FUSkd	sg1152	sg1152_S_FUSkd_22	PE	/data/CARD_ARDIS/FUSkdRNAseq/NovaSeq_VR8153/VR-8153_22_S22_L001_R1_001.fastq.gz	/data/CARD_ARDIS/FUSkdRNAseq/NovaSeq_VR8153/VR-8153_22_S22_L001_R2_001.fastq.gz
sg1152_S_FUSkd_22_L2	FUSkd	sg1152_S_FUSkd	sg1152	sg1152_S_FUSkd_22	PE	/data/CARD_ARDIS/FUSkdRNAseq/NovaSeq_VR8153/VR-8153_22_S22_L002_R1_001.fastq.gz	/data/CARD_ARDIS/FUSkdRNAseq/NovaSeq_VR8153/VR-8153_22_S22_L002_R2_001.fastq.gz
sg1152_S_FUSkd_23_L1	FUSkd	sg1152_S_FUSkd	sg1152	sg1152_S_FUSkd_23	PE	/data/CARD_ARDIS/FUSkdRNAseq/NovaSeq_VR8153/VR-8153_23_S23_L001_R1_001.fastq.gz	/data/CARD_ARDIS/FUSkdRNAseq/NovaSeq_VR8153/VR-8153_23_S23_L001_R2_001.fastq.gz
sg1152_S_FUSkd_23_L2	FUSkd	sg1152_S_FUSkd	sg1152	sg1152_S_FUSkd_23	PE	/data/CARD_ARDIS/FUSkdRNAseq/NovaSeq_VR8153/VR-8153_23_S23_L002_R1_001.fastq.gz	/data/CARD_ARDIS/FUSkdRNAseq/NovaSeq_VR8153/VR-8153_23_S23_L002_R2_001.fastq.gz
sg1152_S_FUSkd_24_L1	FUSkd	sg1152_S_FUSkd	sg1152	sg1152_S_FUSkd_24	PE	/data/CARD_ARDIS/FUSkdRNAseq/NovaSeq_VR8153/VR-8153_24_S24_L001_R1_001.fastq.gz	/data/CARD_ARDIS/FUSkdRNAseq/NovaSeq_VR8153/VR-8153_24_S24_L001_R2_001.fastq.gz
sg1152_S_FUSkd_24_L2	FUSkd	sg1152_S_FUSkd	sg1152	sg1152_S_FUSkd_24	PE	/data/CARD_ARDIS/FUSkdRNAseq/NovaSeq_VR8153/VR-8153_24_S24_L002_R1_001.fastq.gz	/data/CARD_ARDIS/FUSkdRNAseq/NovaSeq_VR8153/VR-8153_24_S24_L002_R2_001.fastq.gz
sg1126_N_HNRNPA1kd_1_L1	HNRNPA1kd	sg1126_N_HNRNPA1kd	sg1126	sg1126_N_HNRNPA1kd_1	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_1_S1_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_1_S1_L001_R2_001.fastq.gz
sg1126_N_HNRNPA1kd_1_L2	HNRNPA1kd	sg1126_N_HNRNPA1kd	sg1126	sg1126_N_HNRNPA1kd_1	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_1_S1_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_1_S1_L002_R2_001.fastq.gz
sg1126_N_HNRNPA1kd_2_L1	HNRNPA1kd	sg1126_N_HNRNPA1kd	sg1126	sg1126_N_HNRNPA1kd_2	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_2_S2_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_2_S2_L001_R2_001.fastq.gz
sg1126_N_HNRNPA1kd_2_L2	HNRNPA1kd	sg1126_N_HNRNPA1kd	sg1126	sg1126_N_HNRNPA1kd_2	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_2_S2_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_2_S2_L002_R2_001.fastq.gz
sg1126_N_HNRNPA1kd_3_L1	HNRNPA1kd	sg1126_N_HNRNPA1kd	sg1126	sg1126_N_HNRNPA1kd_3	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_3_S3_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_3_S3_L001_R2_001.fastq.gz
sg1126_N_HNRNPA1kd_3_L2	HNRNPA1kd	sg1126_N_HNRNPA1kd	sg1126	sg1126_N_HNRNPA1kd_3	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_3_S3_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_3_S3_L002_R2_001.fastq.gz
sg1126_N_HNRNPA1kd_4_L1	HNRNPA1kd	sg1126_N_HNRNPA1kd	sg1126	sg1126_N_HNRNPA1kd_4	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_4_S4_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_4_S4_L001_R2_001.fastq.gz
